type,index,timestamp,k1_open,k1_high,k1_low,k1_close,k1_body,k1_range,k1_volume,k2_open,k2_high,k2_low,k2_close,k2_body,k2_volume,k3_high,k3_low,k2_body_k1_body,fvg_size_k1_range,vol_change_1_2,fvg_size,new_high_24h,max_gain_24h,new_high_48h,max_gain_48h,new_high_72h,max_gain_72h,new_high_96h,max_gain_96h,new_high_120h,max_gain_120h,new_high_168h,max_gain_168h,pass_all,pass_cond1,pass_cond2,pass_cond3
bearish,14167,2025-08-13 07:00:00,120100.0,120299.99,119925.47,120134.08,34.080000000001746,374.5200000000041,460.06709,120134.09,120192.1,119636.0,119713.19,420.8999999999942,515.63049,119716.24,119337.67,12.350352112675253,0.5586617537114004,0.12077238561010743,209.22999999999593,True,0.837645247502472,True,2.289313521139422,True,2.6028499200378334,True,2.6028499200378334,True,2.6028499200378334,True,5.997800133699704,False,True,True,False
bullish,14186,2025-08-14 02:00:00,121823.25,121954.51,121429.36,121639.2,184.0500000000029,525.1499999999942,891.23926,121639.19,122839.47,121524.27,122744.21,1105.020000000004,1637.04367,122973.0,122464.34,6.003911980440025,0.9708273826525895,0.8368172762048208,509.83000000000175,True,2.0659260571831295,True,2.0659260571831295,True,2.0659260571831295,True,2.0659260571831295,True,2.0659260571831295,True,2.0659260571831295,True,True,True,True
bearish,14201,2025-08-14 17:00:00,121637.78,121918.8,121528.55,121649.84,12.059999999997672,390.25,613.30308,121649.84,121772.9,120757.01,120933.0,716.8399999999965,1133.31236,121031.31,120694.0,59.43946932007752,1.2741575912876495,0.8478830401438712,497.24000000000524,True,3.5782126915856423,True,3.8876132398518686,True,3.8876132398518686,True,5.668141354438939,True,5.893717978203478,True,7.527901879846342,False,False,True,True
bearish,14203,2025-08-14 19:00:00,120932.99,121031.31,120694.0,120949.67,16.679999999993015,337.3099999999977,752.73621,120949.66,121183.06,117632.0,118866.37,2083.290000000008,5056.4661,119249.2,117727.73,124.89748201444128,4.283300228276698,5.717447670014439,1444.800000000003,True,2.9114951861732976,True,3.2230351135930495,True,3.2230351135930495,True,5.015874857076574,True,5.243011251594942,True,6.88849487132749,False,False,True,True
bullish,14216,2025-08-15 08:00:00,118295.09,118473.18,118032.94,118181.97,113.11999999999534,440.2399999999907,387.64196,118181.98,118736.0,118032.32,118681.64,499.6600000000035,473.85001,118888.0,118584.2,4.417079207921005,0.25218062874797026,0.2223909145439261,111.02000000000407,True,0.627686367496858,True,0.627686367496858,True,0.627686367496858,True,0.627686367496858,True,0.627686367496858,True,0.627686367496858,False,True,False,False
bearish,14227,2025-08-15 19:00:00,118879.82,119121.31,118879.82,119006.01,126.18999999998778,241.4899999999907,294.77719,119006.01,119130.77,118510.0,118648.66,357.34999999999127,647.85118,118738.0,117743.21,2.831840874871431,0.5872706944387447,1.1977656412288886,141.82000000000698,True,1.7461584312627672,True,1.7461584312627672,True,3.5663580244317394,True,3.7969606616160814,True,5.311086440070326,True,6.052356068506844,True,True,True,True
bearish,14279,2025-08-17 23:00:00,118150.01,118263.9,118137.25,118246.16,96.15000000000873,126.64999999999418,204.82807,118246.15,118316.01,117700.7,117834.56,411.5899999999965,488.38516,117934.82,117645.04,4.280707228288707,1.598341887090425,1.3843663615050419,202.42999999999302,True,2.960209417436076,True,4.055427056241787,True,4.873357048687015,True,4.91286194659178,True,5.461833587627956,True,5.461833587627956,True,True,True,True
bearish,14286,2025-08-18 06:00:00,117700.01,117995.37,117688.5,117954.99,254.98000000001048,306.86999999999534,232.19191,117955.0,117978.42,117371.65,117405.01,549.9900000000052,232.44464,117543.75,117020.0,2.1569927053101523,0.47169811320755434,0.001088453081763208,144.75,True,2.590193604302885,True,4.21104865811018,True,4.510636128423762,True,4.820207581879284,True,5.10135654715627,True,5.955127306406319,False,True,False,False
bullish,14319,2025-08-19 15:00:00,115019.99,115056.0,114600.74,114978.14,41.85000000000582,455.25999999999476,724.50631,114978.15,115300.0,114804.0,115186.48,208.33000000000175,489.77403,115488.27,115185.92,4.9780167264031725,0.28537538988709693,-0.32398928312991504,129.91999999999825,True,0.7125573633708773,True,0.7125573633708773,True,0.7125573633708773,True,2.0625173828396632,True,2.0625173828396632,True,2.0625173828396632,False,True,False,False
bearish,14393,2025-08-22 17:00:00,112980.34,113128.0,112815.55,113049.67,69.33000000000175,312.4499999999971,517.13631,113049.67,113060.0,112512.74,112534.54,515.1300000000047,455.48522,112629.4,112177.27,7.430116832539906,0.5957753240518818,-0.11921632422213779,186.15000000000873,True,1.0023086356446511,True,1.0023086356446511,True,1.8929571322393084,True,3.677586999309935,True,3.677586999309935,True,3.677586999309935,False,True,True,False
