type,index,timestamp,k1_open,k1_high,k1_low,k1_close,k1_body,k1_range,k1_upper_wick,k1_lower_wick,k1_volume,k2_open,k2_high,k2_low,k2_close,k2_body,k2_range,k2_upper_wick,k2_lower_wick,k2_volume,k3_open,k3_high,k3_low,k3_close,k3_body,k3_range,k3_upper_wick,k3_lower_wick,k3_volume,fvg_high,fvg_low,fvg_size,close_slope,low_slope,high_slope,vol_change_1_2,vol_change_2_3,k2_body_k1_body,k2_range_k1_range,fvg_size_k1_range,new_high_24h,new_low_24h,max_high_24h,min_low_24h,max_gain_24h,max_loss_24h,new_high_48h,new_low_48h,max_high_48h,min_low_48h,max_gain_48h,max_loss_48h,new_high_72h,new_low_72h,max_high_72h,min_low_72h,max_gain_72h,max_loss_72h,new_high_96h,new_low_96h,max_high_96h,min_low_96h,max_gain_96h,max_loss_96h,new_high_120h,new_low_120h,max_high_120h,min_low_120h,max_gain_120h,max_loss_120h,new_high_168h,new_low_168h,max_high_168h,min_low_168h,max_gain_168h,max_loss_168h
bullish,2150,2025-07-14 06:00:00,118648.86,118774.64,118243.68,118520.01,128.85000000000582,530.9600000000064,125.77999999999884,276.33000000000175,584.71541,118520.01,119198.0,118386.55,119086.64,566.6300000000047,811.4499999999971,111.36000000000058,133.45999999999185,364.38555,119086.65,119470.54,118916.17,119061.4,25.25,554.3699999999953,383.8899999999994,145.22999999999593,538.61781,118916.17,118774.64,141.52999999999884,270.69499999999897,336.2450000000195,,-0.3768155520306879,0.47815359308293076,4.397594101668444,1.5282695494952299,0.26655491939128584,True,False,123218.0,118905.18,3.7410006041693755,0.009241804541808939,True,True,123218.0,115736.92,3.7410006041693755,2.673522028164883,True,True,123218.0,115736.92,3.7410006041693755,2.673522028164883,True,True,123218.0,115736.92,3.7410006041693755,2.673522028164883,True,True,123218.0,115736.92,3.7410006041693755,2.673522028164883,True,True,123218.0,115736.92,3.7410006041693755,2.673522028164883
bearish,2189,2025-07-15 21:00:00,117204.18,118490.71,117157.25,118088.13,883.9500000000116,1333.4600000000064,402.58000000000175,46.929999999993015,2210.06348,118088.13,118458.31,115736.92,116008.19,2079.9400000000023,2721.3899999999994,370.179999999993,271.2700000000041,2687.57274,116008.2,116750.0,115800.0,116391.43,383.2299999999959,950.0,358.570000000007,208.1999999999971,2299.77308,117157.25,116750.0,407.25,-848.3499999999943,,-870.3549999999836,0.21606133231973967,-0.14429364244853896,2.353006391764212,2.0408486193811486,0.3054084861938101,True,False,119310.75,116019.05,0.6260813704496764,1.8381278153934137,True,False,120063.84,116019.05,0.6260813704496764,2.4809305442044747,True,False,120998.71,116019.05,0.6260813704496764,3.278892258054885,True,False,120998.71,116019.05,0.6260813704496764,3.278892258054885,True,False,120998.71,116019.05,0.6260813704496764,3.278892258054885,True,False,120998.71,116019.05,0.6260813704496764,3.278892258054885
bullish,2207,2025-07-16 15:00:00,118276.3,118300.0,118046.19,118189.25,87.05000000000291,253.80999999999767,23.69999999999709,143.05999999999767,466.50951,118189.24,118794.64,118113.82,118699.99,510.75,680.8199999999924,94.64999999999418,75.41999999999825,858.41533,118700.0,119200.0,118693.71,119193.37,493.36999999999534,506.2899999999936,6.630000000004657,6.289999999993597,766.24927,118693.71,118300.0,393.7100000000064,502.0600000000117,323.7600000000061,,0.8400810950241938,-0.1073676771359617,5.8673176335437445,2.6824002206374797,1.5511997163232734,True,True,120063.84,117683.53,1.490989010989008,0.851081325202496,True,True,120998.71,117453.57,2.2812426035503015,1.0448236894777316,True,True,120998.71,116812.76,2.2812426035503015,1.5847090802031647,True,True,120998.71,116812.76,2.2812426035503015,1.5847090802031647,True,True,120998.71,116467.02,2.2812426035503015,1.8759966303184914,True,True,120998.71,116128.0,2.2812426035503015,2.1616225493330745
bullish,2240,2025-07-18 00:00:00,118881.99,118954.66,118333.6,118558.61,323.38000000000466,621.0599999999977,72.66999999999825,225.00999999999476,550.68619,118558.61,119328.89,118500.0,119261.5,702.8899999999994,828.8899999999994,67.38999999999942,58.61000000000058,555.62392,119261.51,119780.67,119211.94,119580.0,318.49000000000524,568.7299999999959,200.66999999999825,49.56999999999243,689.15184,119211.94,118954.66,257.27999999999884,510.69500000001165,439.17000000003105,,0.008966504135504084,0.24032068309802068,2.1735728863874986,1.3346375551476548,0.4142594918365372,True,True,120998.71,117315.69,1.7183437790499363,1.5906544260583293,True,True,120998.71,116812.76,1.7183437790499363,2.012533308324659,True,True,120998.71,116812.76,1.7183437790499363,2.012533308324659,True,True,120998.71,116467.02,1.7183437790499363,2.3025545931053535,True,True,120998.71,116128.0,1.7183437790499363,2.586938858641175,True,True,120998.71,116128.0,1.7183437790499363,2.586938858641175
bullish,2302,2025-07-20 14:00:00,117846.92,117884.29,117760.67,117824.48,22.44000000000233,123.61999999999534,37.36999999999534,63.80999999999767,128.67886,117824.49,118218.0,117824.48,118029.49,205.0,393.5200000000041,188.50999999999476,0.010000000009313226,339.64911,118029.49,118255.14,118000.0,118151.14,121.64999999999418,255.13999999999942,104.0,29.49000000000524,659.2723,118000.0,117884.29,115.7100000000064,163.33000000001732,119.66500000002391,,1.639509784280029,0.941039386206547,9.135472370765541,3.1833036725450485,0.9360135900340621,True,True,119676.73,116467.02,1.5205079489387452,1.2991355932203357,True,True,119676.73,116128.0,1.5205079489387452,1.5864406779661018,True,True,120247.8,116128.0,2.0049406074380305,1.5864406779661018,True,True,120247.8,116128.0,2.0049406074380305,1.5864406779661018,True,True,120247.8,114723.16,2.0049406074380305,2.7769830508474547,True,True,120247.8,114723.16,2.0049406074380305,2.7769830508474547
bullish,2321,2025-07-21 09:00:00,117352.05,117441.62,116775.95,117305.86,46.19000000000233,665.6699999999983,89.56999999999243,529.9100000000035,496.20828,117305.86,118183.93,117305.86,118183.92,878.0599999999977,878.0699999999924,0.00999999999476131,0.0,687.53225,118183.92,118614.7,118131.75,118404.0,220.08000000000175,482.9499999999971,210.6999999999971,52.169999999998254,753.42903,118131.75,117441.62,690.1300000000047,549.0700000000178,677.9000000000233,,0.3855719013797996,0.09584536579920439,19.009742368477017,1.319077020145109,1.0367449336758552,True,True,119676.73,116128.0,1.9031668670782986,1.6961993706179752,True,True,120247.8,116128.0,2.3894254864672404,1.6961993706179752,True,True,120247.8,116128.0,2.3894254864672404,1.6961993706179752,True,True,120247.8,116128.0,2.3894254864672404,1.6961993706179752,True,True,120247.8,114723.16,2.3894254864672404,2.8854139551813938,True,True,120247.8,114723.16,2.3894254864672404,2.8854139551813938
bearish,2367,2025-07-23 07:00:00,119844.23,120247.8,119835.56,119954.42,110.19000000000233,412.24000000000524,293.38000000000466,8.669999999998254,542.2831,119954.43,120090.0,119500.29,119546.56,407.86999999999534,589.7100000000064,135.57000000000698,46.270000000004075,373.25447,119546.56,119666.04,119379.63,119488.22,58.33999999999651,286.40999999998894,119.47999999999593,108.58999999999651,386.63831,119835.56,119666.04,169.52000000000407,-233.09999999996873,,-290.88000000000903,-0.3116981333181874,0.035857145930496055,3.7015155640256534,1.4305016495245462,0.411216766931889,False,True,119531.29,117301.0,1.976366895737499,-0.25390626955805445,False,True,119531.29,117103.1,2.141743806346385,-0.25390626955805445,False,True,119531.29,114723.16,4.130562020770463,-0.25390626955805445,False,True,119531.29,114723.16,4.130562020770463,-0.25390626955805445,False,True,119766.65,114723.16,4.130562020770463,-0.057503799373077154,False,True,119800.0,114723.16,4.130562020770463,-0.029673996600005602
bullish,2398,2025-07-24 14:00:00,117604.54,117855.0,117380.03,117466.81,137.72999999999593,474.97000000000116,250.4600000000064,86.77999999999884,933.69554,117466.81,118473.62,117103.1,118416.21,949.4000000000087,1370.5199999999895,57.40999999998894,363.70999999999185,1190.19498,118416.21,118811.09,118224.76,118775.28,359.06999999999243,586.3300000000017,35.80999999999767,191.45000000001164,827.24635,118224.76,117855.0,369.75999999999476,654.235000000006,422.3650000000259,,0.2747142178702063,-0.3049488832493647,6.893196834386385,2.8854875044739376,0.778491273133027,True,True,119450.0,114723.16,1.3533579398413305,2.961816120413348,True,True,119450.0,114723.16,1.3533579398413305,2.961816120413348,True,True,119450.0,114723.16,1.3533579398413305,2.961816120413348,True,True,119800.0,114723.16,1.650333036358237,2.961816120413348,True,True,119800.0,114723.16,1.650333036358237,2.961816120413348,True,True,119800.0,114723.16,1.650333036358237,2.961816120413348
bearish,2415,2025-07-25 07:00:00,118280.0,118450.24,118166.94,118340.99,60.99000000000524,283.3000000000029,109.25,113.05999999999767,560.27853,118340.98,118451.57,117652.85,117664.56,676.4199999999983,798.7200000000012,110.59000000001106,11.709999999991851,992.03849,117664.55,117802.04,117231.0,117359.26,305.29000000000815,571.0399999999936,137.4899999999907,128.25999999999476,2379.32463,118166.94,117802.04,364.90000000000873,-490.86499999999546,,-324.09999999997893,0.7706166431185574,1.3984196722044526,11.090670601737008,2.819343452170819,1.288033886339587,False,True,117630.0,114723.16,2.6136049935977255,-0.45439105049178924,False,True,118297.35,114723.16,2.6136049935977255,0.11036081665481351,True,True,119766.65,114723.16,2.6136049935977255,1.3537711986110428,True,True,119800.0,114723.16,2.6136049935977255,1.3819939824116607,True,True,119800.0,114723.16,2.6136049935977255,1.3819939824116607,True,True,119800.0,114313.13,2.961671971045653,1.3819939824116607
bearish,2553,2025-07-31 01:00:00,117734.8,117940.0,117650.0,117802.1,67.30000000000291,290.0,137.89999999999418,84.80000000000291,591.37855,117802.11,118037.18,116509.47,116523.14,1278.9700000000012,1527.7099999999919,235.06999999999243,13.669999999998254,1846.61677,116523.15,117123.8,115796.23,116916.73,393.58000000000175,1327.570000000007,207.07000000000698,726.9199999999983,2572.65277,117650.0,117123.8,526.1999999999971,-442.6849999999763,,-408.0999999999784,2.1225629844031375,0.39317091222993716,19.004011887072004,5.267965517241351,1.8144827586206795,True,False,118922.45,116880.64,0.20760938425836892,1.0815554611134697,True,True,118922.45,113669.01,2.9496908399488473,1.0815554611134697,True,True,118922.45,112099.22,4.289973515203573,1.0815554611134697,True,True,118922.45,111920.0,4.442991091477567,1.0815554611134697,True,True,118922.45,111920.0,4.442991091477567,1.0815554611134697,True,True,118922.45,111920.0,4.442991091477567,1.0815554611134697
bearish,2576,2025-08-01 00:00:00,118306.18,118879.14,118242.39,118538.53,232.35000000000582,636.75,340.6100000000006,63.7899999999936,876.32003,118538.53,118557.71,117702.42,117728.0,810.5299999999988,855.2900000000081,19.180000000007567,25.580000000001746,1032.83499,117728.0,117998.38,117400.0,117658.8,69.19999999999709,598.3800000000047,270.38000000000466,258.8000000000029,946.75341,118242.39,117998.38,244.00999999999476,-439.8649999999777,,-440.37999999998806,0.1786047957844808,-0.08334494941926786,3.488401119001414,1.3432116215155212,0.3832116215155002,False,True,117762.05,113988.47,3.3982754678496465,-0.4062333313797163,False,True,117762.05,112584.23,4.588325704132556,-0.4062333313797163,False,True,117762.05,111920.0,5.1512402119418965,-0.4062333313797163,False,True,117762.05,111920.0,5.1512402119418965,-0.4062333313797163,False,True,117762.05,111920.0,5.1512402119418965,-0.4062333313797163,False,True,117762.05,111920.0,5.1512402119418965,-0.4062333313797163
bullish,2641,2025-08-03 17:00:00,113692.01,113710.51,113630.3,113654.95,37.05999999999767,80.20999999999185,18.5,24.64999999999418,234.09945,113654.95,113900.0,113654.94,113899.99,245.04000000000815,245.05999999999767,0.00999999999476131,0.00999999999476131,181.60816,113899.99,114260.31,113861.18,113862.18,37.810000000012224,399.13000000000466,360.31999999999243,1.0,562.11642,113861.18,113710.51,150.66999999999825,103.61500000001016,115.44000000001016,,-0.22422645589299758,2.09521565550799,6.611980572045967,3.0552300211946464,1.8784440842789374,True,True,115000.0,113579.69,1.1340112712536468,0.2472220997533933,True,True,115720.0,113579.69,1.7671981244301915,0.2472220997533933,True,True,115720.0,112650.0,1.7671981244301915,1.0637339258208927,True,True,116430.01,112650.0,2.391599510018907,1.0637339258208927,True,True,117630.0,112650.0,3.446902137717969,1.0637339258208927,True,True,118741.77,112650.0,4.424621787379205,1.0637339258208927
bullish,2655,2025-08-04 07:00:00,114324.84,114500.0,114176.0,114208.8,116.0399999999936,324.0,175.1600000000035,32.80000000000291,218.11723,114208.81,114914.29,114107.6,114899.87,691.0599999999977,806.6899999999878,14.419999999998254,101.20999999999185,508.31725,114899.86,115000.0,114620.14,114671.96,227.89999999999418,379.8600000000006,100.13999999999942,51.820000000006985,423.44241,114620.14,114500.0,120.13999999999942,231.58000000002434,222.07000000002637,,1.3304772850819717,-0.16697218125098057,5.9553602206138905,2.4897839506172463,0.37080246913580067,True,True,115720.0,114121.0,1.0655021834061136,0.4354732074136355,True,True,115720.0,112650.0,1.0655021834061136,1.718842779288177,True,True,115720.0,112650.0,1.0655021834061136,1.718842779288177,True,True,117630.0,112650.0,2.7336244541484715,1.718842779288177,True,True,117630.0,112650.0,2.7336244541484715,1.718842779288177,True,True,119500.0,112650.0,4.366812227074235,1.718842779288177
bullish,2668,2025-08-04 20:00:00,114493.09,114535.48,114327.95,114444.36,48.729999999995925,207.52999999999884,42.38999999999942,116.41000000000349,221.8459,114444.36,114913.89,114121.0,114913.88,469.5200000000041,792.8899999999994,0.00999999999476131,323.3600000000006,839.66562,114913.89,115466.0,114652.96,114736.78,177.11000000000058,813.0399999999936,552.1100000000006,83.81999999999243,1386.32387,114652.96,114535.48,117.48000000001048,146.21000000002613,162.50500000001276,,2.7849048370963807,0.6510427924868473,9.635132361995554,3.820604249987972,0.5660868308196942,True,True,115720.0,113500.01,1.0341948189329664,1.0055998554245886,True,True,115720.0,112650.0,1.0341948189329664,1.7469762664653457,True,True,116828.93,112650.0,2.0023926210463316,1.7469762664653457,True,True,117630.0,112650.0,2.701800350424169,1.7469762664653457,True,True,117944.05,112650.0,2.9759948620287853,1.7469762664653457,True,True,122335.16,112650.0,6.8098374407650875,1.7469762664653457
bearish,2682,2025-08-05 10:00:00,114708.11,114827.79,114614.94,114719.27,11.160000000003492,212.84999999999127,108.51999999998952,93.16999999999825,238.27103,114719.27,114737.82,114256.85,114256.85,462.41999999999825,480.97000000000116,18.55000000000291,0.0,503.68849,114256.85,114426.65,114149.95,114338.06,81.20999999999185,276.6999999999971,88.58999999999651,106.90000000000873,577.56577,114614.94,114426.65,188.29000000000815,-190.60499999999553,,-200.5699999999846,1.1139308878632874,0.1466725594622979,41.43548387095462,2.259666431759553,0.8846135776369081,True,True,115096.73,112650.0,1.5526540364504198,0.42035532191527,True,True,115716.0,112650.0,1.5526540364504198,0.9606601024264355,True,True,117630.0,112650.0,1.5526540364504198,2.6305994663522902,True,True,117630.0,112650.0,1.5526540364504198,2.6305994663522902,True,True,118500.0,112650.0,1.5526540364504198,3.3896628135913156,True,True,122335.16,112650.0,1.5526540364504198,6.735788545542144
